Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1968.02;1,17090909090909E-12;
1968.03;1,17090909090909E-12;
1968.04;1,17090909090909E-12;
1968.05;1,17090909090909E-12;
1968.06;1,17090909090909E-12;
1968.07;1,17090909090909E-12;
1968.08;1,2E-12;
1968.09;1,33127272727273E-12;
1968.10;1,34545454545455E-12;
1968.11;1,35709090909091E-12;
1968.12;1,38836363636364E-12;
1969.01;1,39272727272727E-12;
1969.02;1,42E-12;
1969.03;1,44218181818182E-12;
1969.04;1,45454545454545E-12;
1969.05;1,464E-12;
1969.06;1,47272727272727E-12;
1969.07;1,48763636363636E-12;
1969.08;1,49345454545455E-12;
1969.09;1,50909090909091E-12;
1969.10;1,52909090909091E-12;
1969.11;1,54690909090909E-12;
1969.12;1,56836363636364E-12;
1970.01;1,58181818181818E-12;
1970.02;1,60109090909091E-12;
1970.03;1,60727272727273E-12;
1970.04;1,63272727272727E-12;
1970.05;1,64363636363636E-12;
1970.06;1,65818181818182E-12;
1970.07;1,676E-12;
1970.08;1,69090909090909E-12;
1970.09;1,70181818181818E-12;
1970.10;1,71636363636364E-12;
1970.11;1,75636363636364E-12;
1970.12;1,77818181818182E-12;
1971.01;1,8E-12;
1971.02;1,81818181818182E-12;
1971.03;1,83927272727273E-12;
1971.04;1,85818181818182E-12;
1971.05;1,88909090909091E-12;
1971.06;1,91090909090909E-12;
1971.07;1,92181818181818E-12;
1971.08;1,95927272727273E-12;
1971.09;1,99018181818182E-12;
1971.10;2,00181818181818E-12;
1971.11;2,03527272727273E-12;
1971.12;2,04909090909091E-12;
1972.01;2,05490909090909E-12;
1972.02;2,10363636363636E-12;
1972.03;2,11381818181818E-12;
1972.04;2,12545454545455E-12;
1972.05;2,14618181818182E-12;
1972.06;2,15090909090909E-12;
1972.07;2,16109090909091E-12;
1972.08;2,16909090909091E-12;
1972.09;2,18872727272727E-12;
1972.10;2,20363636363636E-12;
1972.11;2,22545454545455E-12;
1972.12;2,25090909090909E-12;
1973.01;2,26E-12;
1973.02;2,22109090909091E-12;
1973.03;2,19272727272727E-12;
1973.04;2,19927272727273E-12;
1973.05;2,21818181818182E-12;
1973.06;2,21818181818182E-12;
1973.07;2,22654545454545E-12;
1973.08;2,22909090909091E-12;
1973.09;2,23309090909091E-12;
1973.10;2,24E-12;
1973.11;2,24E-12;
1973.12;2,25236363636364E-12;
1974.01;2,26181818181818E-12;
1974.02;2,31709090909091E-12;
1974.03;2,34727272727273E-12;
1974.04;2,36727272727273E-12;
1974.05;2,30545454545455E-12;
1974.06;2,43454545454545E-12;
1974.07;2,49709090909091E-12;
1974.08;2,53054545454545E-12;
1974.09;2,56981818181818E-12;
1974.10;2,59854545454545E-12;
1974.11;2,64254545454545E-12;
1974.12;2,67672727272727E-12;
1975.01;2,71127272727273E-12;
1975.02;2,75527272727273E-12;
1975.03;2,78618181818182E-12;
1975.04;2,83745454545455E-12;
1975.05;2,88109090909091E-12;
1975.06;2,90509090909091E-12;
1975.07;2,95163636363636E-12;
1975.08;3,01381818181818E-12;
1975.09;3,056E-12;
1975.10;3,11018181818182E-12;
1975.11;3,18654545454545E-12;
1975.12;3,26727272727273E-12;
1976.01;3,32254545454545E-12;
1976.02;3,39018181818182E-12;
1976.03;3,49018181818182E-12;
1976.04;3,68509090909091E-12;
1976.05;3,78836363636364E-12;
1976.06;3,87963636363636E-12;
1976.07;3,94254545454546E-12;
1976.08;4,01927272727273E-12;
1976.09;4,11381818181818E-12;
1976.10;4,20145454545455E-12;
